property-id,locality_name,postal_code,price,type_prop,subtype_prop,type_sale,room_count,living_area,kitchen,furnished,open_fire,terrace,garden,surface_of_good,facade_count,swimming_pool,state_building
20663138,Brussels,1070,549000,HOUSE,APARTMENT_BLOCK,FOR_SALE,5,320,,False,False,1,37,37,2,False,GOOD
20663161,Antwerp,2060,345000,HOUSE,APARTMENT_BLOCK,FOR_SALE,4,120,USA_SEMI_EQUIPPED,,False,,,43,3,,TO_BE_DONE_UP
20669431,Brussels,1020,545000,HOUSE,APARTMENT_BLOCK,FOR_SALE,9,265,NOT_INSTALLED,,False,11,70,180,2,False,TO_RENOVATE
20663327,Gent,9000,595000,HOUSE,APARTMENT_BLOCK,FOR_SALE,4,150,INSTALLED,False,False,,,44,2,False,TO_BE_DONE_UP
20657708,Antwerp,2660,1199000,HOUSE,APARTMENT_BLOCK,FOR_SALE,14,78,,,False,,60,408,3,,TO_RENOVATE
20573829,Brussels,1050,2150000,HOUSE,APARTMENT_BLOCK,FOR_SALE,10,595,HYPER_EQUIPPED,,False,29,26,215,2,,JUST_RENOVATED
20666264,Brussels,1020,665000,HOUSE,APARTMENT_BLOCK,FOR_SALE,6,300,INSTALLED,False,False,30,75,200,2,False,TO_BE_DONE_UP
20669261,Liège,4000,229000,HOUSE,APARTMENT_BLOCK,FOR_SALE,4,130,SEMI_EQUIPPED,False,False,,,80,2,False,GOOD
20661658,Liège,4000,195000,HOUSE,APARTMENT_BLOCK,FOR_SALE,3,122,INSTALLED,False,False,25,,90,2,False,TO_BE_DONE_UP
20666822,Liège,4000,219000,HOUSE,APARTMENT_BLOCK,FOR_SALE,5,172,SEMI_EQUIPPED,False,False,17,60,194,2,False,TO_BE_DONE_UP
20669261,Liège,4000,229000,HOUSE,APARTMENT_BLOCK,FOR_SALE,4,130,SEMI_EQUIPPED,False,False,,,80,2,False,GOOD
20661168,Mechelen,2500,820000,HOUSE,APARTMENT_BLOCK,FOR_SALE,5,246,SEMI_EQUIPPED,,False,12,12,423,3,,TO_RENOVATE
20662223,Brussels,1060,1450000,HOUSE,APARTMENT_BLOCK,FOR_SALE,9,370,SEMI_EQUIPPED,False,False,15,30,183,2,False,GOOD
20663139,Brussels,1210,565000,HOUSE,APARTMENT_BLOCK,FOR_SALE,8,350,,False,False,,30,30,3,False,TO_BE_DONE_UP
20663133,Brussels,1030,565000,HOUSE,APARTMENT_BLOCK,FOR_SALE,8,350,,False,False,,30,30,3,False,TO_BE_DONE_UP
20669423,Brussels,1030,625000,HOUSE,APARTMENT_BLOCK,FOR_SALE,5,387,HYPER_EQUIPPED,,False,35,,0,2,False,AS_NEW
20663158,Brussels,1180,1490000,HOUSE,APARTMENT_BLOCK,FOR_SALE,6,450,,False,False,,35,153,3,False,GOOD
20669417,Aalst,9300,295000,APARTMENT,APARTMENT,FOR_SALE,3,85,HYPER_EQUIPPED,False,False,3,,,3,,AS_NEW
20641135,Brussels,1070,199000,APARTMENT,APARTMENT,FOR_SALE,2,85,SEMI_EQUIPPED,,False,,,,4,,GOOD
20669300,Brussels,1070,289000,APARTMENT,APARTMENT,FOR_SALE,3,,HYPER_EQUIPPED,,False,,,,,False,GOOD
20669669,Thuin,6150,130000,APARTMENT,APARTMENT,FOR_SALE,1,66,INSTALLED,False,False,,,,2,False,GOOD
20669392,Antwerp,2100,249500,APARTMENT,APARTMENT,FOR_SALE,1,59,SEMI_EQUIPPED,,False,8,,,2,,AS_NEW
20669208,Antwerp,2060,237000,APARTMENT,APARTMENT,FOR_SALE,2,64,,,False,,,,,,GOOD
20669194,Kortrijk,8580,335000,APARTMENT,APARTMENT,FOR_SALE,3,181,NOT_INSTALLED,,False,,,,3,False,AS_NEW
20609078,Brussels,1000,640000,APARTMENT,APARTMENT,FOR_SALE,3,152,SEMI_EQUIPPED,,False,5,,,3,,GOOD
20669271,Brussels,1000,1100000,APARTMENT,APARTMENT,FOR_SALE,3,251,INSTALLED,,False,18,,,3,False,GOOD
20669449,Mechelen,2570,320000,APARTMENT,APARTMENT,FOR_SALE,2,103,INSTALLED,,False,,,,2,,GOOD
