id,type,subtype,postal_code,locality,price,rooms_cnt,area,immo_url,Type of sale,Kitchen type,Terrace surface,Garden surface,Swimming pool,Furnished,Open fire,Building condition,Number of frontages,Surface of good,Construction year
20663138,apartment,apartment-block,1070,Anderlecht,549000,5.0,320.0,https://www.immoweb.be/en/classified/apartment-block/for-sale/anderlecht/1070/20663138,For sale,,1.0,37.0,0,0,0,Good,2.0,37.0,1880.0
20648228,house,house,9190,STEKENE,368000,3.0,175.0,https://www.immoweb.be/en/classified/house/for-sale/stekene/9190/20648228,For sale,Installed,20.0,,0,0,0,Good,3.0,501.0,1998.0
20663967,house,house,4102,Seraing,209000,4.0,245.0,https://www.immoweb.be/en/classified/house/for-sale/seraing/4102/20663967,For sale,Installed,36.0,63.0,0,1,0,Good,3.0,245.0,1874.0
20670574,apartment,penthouse,1200,Woluwe-Saint-Lambert,700000,3.0,150.0,https://www.immoweb.be/en/classified/penthouse/for-sale/woluwe-saint-lambert/1200/20670574,For sale,Installed,35.0,,0,0,0,As new,3.0,,2002.0
20672260,apartment,apartment,1050,IXELLES,995000,3.0,219.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20672260,For sale,USA hyper equipped,15.0,,0,0,0,Good,2.0,,1952.0
20663060,house,house,2600,Berchem,800000,4.0,350.0,https://www.immoweb.be/en/classified/house/for-sale/berchem/2600/20663060,For sale,,30.0,45.0,0,0,0,As new,4.0,170.0,1996.0
20663137,house,house,1070,Anderlecht,549000,5.0,320.0,https://www.immoweb.be/en/classified/house/for-sale/anderlecht/1070/20663137,For sale,,1.0,37.0,0,0,0,Good,2.0,37.0,1880.0
20663865,house,house,4042,Herstal Liers,299000,5.0,186.0,https://www.immoweb.be/en/classified/house/for-sale/herstal-liers/4042/20663865,For sale,Semi equipped,32.0,406.0,0,0,0,Good,4.0,705.0,1939.0
20665532,apartment,apartment,2600,BERCHEM,239000,3.0,91.0,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20665532,For sale,Installed,4.0,,0,0,0,Good,,,
20663592,apartment,apartment,8400,Oostende,535000,2.0,82.0,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20663592,For sale,,36.0,,0,1,0,Good,,,2022.0
20668117,apartment,apartment,2100,DEURNE,279000,3.0,103.0,https://www.immoweb.be/en/classified/apartment/for-sale/deurne/2100/20668117,For sale,Installed,8.0,,0,0,0,As new,3.0,,1990.0
20662064,apartment,apartment,8450,Bredene,245000,2.0,93.0,https://www.immoweb.be/en/classified/apartment/for-sale/bredene/8450/20662064,For sale,,8.0,,0,0,0,Good,,,2007.0
20669449,apartment,apartment,2570,DUFFEL,320000,2.0,103.0,https://www.immoweb.be/en/classified/apartment/for-sale/duffel/2570/20669449,For sale,Installed,,,0,0,0,Good,2.0,,1992.0
20672902,apartment,apartment,2000,ANTWERPEN,515000,2.0,116.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2000/20672902,For sale,Installed,12.0,,0,0,0,Good,2.0,,2008.0
20662258,apartment,apartment,8400,Oostende,399000,2.0,121.0,https://www.immoweb.be/en/classified/apartment/for-sale/oostende/8400/20662258,For sale,,71.0,,0,0,0,Good,,,1966.0
20666818,apartment,apartment,2660,HOBOKEN,235000,2.0,83.0,https://www.immoweb.be/en/classified/apartment/for-sale/hoboken/2660/20666818,For sale,Installed,10.0,,0,0,0,Good,3.0,,2008.0
20671111,apartment,penthouse,1050,Ixelles,320000,2.0,94.0,https://www.immoweb.be/en/classified/penthouse/for-sale/ixelles/1050/20671111,For sale,Installed,20.0,,0,0,0,To be done up,2.0,,1930.0
20666982,house,house,4651,Battice,499000,4.0,209.0,https://www.immoweb.be/en/classified/house/for-sale/battice/4651/20666982,For sale,Installed,25.0,1750.0,0,0,0,To be done up,4.0,2427.0,1990.0
20661612,apartment,apartment,2060,ANTWERPEN,285000,3.0,109.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2060/20661612,For sale,Semi equipped,3.0,,0,0,0,Good,2.0,,1965.0
20661520,apartment,flat-studio,1180,Uccle,200000,1.0,52.0,https://www.immoweb.be/en/classified/flat-studio/for-sale/uccle/1180/20661520,For sale,Installed,2.0,,0,0,0,To be done up,2.0,,1974.0
20668626,house,villa,1300,WAVRE,1145000,5.0,400.0,https://www.immoweb.be/en/classified/villa/for-sale/wavre/1300/20668626,For sale,Hyper equipped,20.0,1960.0,0,1,0,Good,4.0,2120.0,1918.0
20672710,apartment,apartment,1750,SINT-KWINTENS-LENNIK,334000,2.0,138.0,https://www.immoweb.be/en/classified/apartment/for-sale/sint-kwintens-lennik/1750/20672710,For sale,Semi equipped,17.0,,0,0,0,Good,2.0,,1930.0
20671082,apartment,apartment,2570,DUFFEL,198000,2.0,78.0,https://www.immoweb.be/en/classified/apartment/for-sale/duffel/2570/20671082,For sale,Semi equipped,2.0,,0,0,0,To be done up,,,1966.0
20669267,apartment,apartment,2300,TURNHOUT,365000,3.0,141.0,https://www.immoweb.be/en/classified/apartment/for-sale/turnhout/2300/20669267,For sale,Semi equipped,23.0,,0,0,0,Good,2.0,,2008.0
20670526,apartment,apartment,2610,WILRIJK,265000,3.0,120.0,https://www.immoweb.be/en/classified/apartment/for-sale/wilrijk/2610/20670526,For sale,Semi equipped,12.0,,0,0,0,To be done up,,,1971.0
20673478,house,mixed-use-building,9506,GERAARDSBERGEN,375000,4.0,256.0,https://www.immoweb.be/en/classified/mixed-use-building/for-sale/geraardsbergen/9506/20673478,For sale,Installed,65.0,84.0,0,0,0,Good,,266.0,1959.0
20670779,apartment,apartment,2600,BERCHEM,219900,3.0,99.0,https://www.immoweb.be/en/classified/apartment/for-sale/berchem/2600/20670779,For sale,Installed,4.0,,0,0,0,Good,3.0,,1969.0
20667223,apartment,apartment,9052,Zwijnaarde,299000,2.0,78.0,https://www.immoweb.be/en/classified/apartment/for-sale/zwijnaarde/9052/20667223,For sale,Installed,4.0,20.0,0,0,0,To be done up,,,1979.0
20671866,apartment,apartment,1050,Ixelles,550000,3.0,156.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20671866,For sale,Installed,18.0,,0,0,0,To be done up,3.0,,1969.0
20657638,apartment,apartment,1050,Ixelles,770000,3.0,134.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20657638,For sale,Installed,14.0,200.0,0,0,0,As new,,,2014.0
20675579,house,villa,1790,Affligem,545000,3.0,165.0,https://www.immoweb.be/en/classified/villa/for-sale/affligem/1790/20675579,For sale,Installed,40.0,1600.0,0,0,0,To be done up,4.0,1799.0,1968.0
20657668,apartment,apartment,1050,Ixelles,570000,2.0,99.0,https://www.immoweb.be/en/classified/apartment/for-sale/ixelles/1050/20657668,For sale,Installed,9.0,400.0,0,1,0,As new,,,2015.0
20665444,apartment,apartment,2020,ANTWERPEN,175000,1.0,67.0,https://www.immoweb.be/en/classified/apartment/for-sale/antwerpen/2020/20665444,For sale,,2.0,,0,0,0,To be done up,2.0,,1957.0
20672658,house,house,1040,Etterbeek,849000,5.0,250.0,https://www.immoweb.be/en/classified/house/for-sale/etterbeek/1040/20672658,For sale,Installed,16.0,77.0,0,0,0,Good,2.0,150.0,1930.0
20663755,house,house,1000,Brussel,799000,3.0,157.0,https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/20663755,For sale,,24.0,62.0,0,0,0,New,2.0,,2026.0
20671854,apartment,flat-studio,1070,Anderlecht,258650,,44.0,https://www.immoweb.be/en/classified/flat-studio/for-sale/anderlecht/1070/20671854,For sale,Installed,6.0,,0,0,0,New,2.0,,2026.0
20663754,house,house,1000,Brussel,725000,4.0,151.0,https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/20663754,For sale,,11.0,,0,0,0,New,2.0,,2026.0
20671858,apartment,flat-studio,1070,Anderlecht,305700,,51.0,https://www.immoweb.be/en/classified/flat-studio/for-sale/anderlecht/1070/20671858,For sale,Installed,5.0,,0,0,0,New,2.0,,
20671855,apartment,apartment,1070,Anderlecht,385000,3.0,80.0,https://www.immoweb.be/en/classified/apartment/for-sale/anderlecht/1070/20671855,For sale,Installed,17.0,,0,0,0,New,2.0,,
20663753,house,house,1000,Brussel,690000,2.0,131.0,https://www.immoweb.be/en/classified/house/for-sale/brussel/1000/20663753,For sale,,18.0,37.0,0,0,0,New,2.0,,2026.0
