Property ID,Locality name,Postal code,Price,Type of property,Subtype of property,Type of sale,Number of rooms,Living area,Equipped kitchen,Furnished,Open fire,Terrace,Garden,Surface of good,Number of facades,Swimming pool,State of building
20525885,Kontich,2550,695000.0,APARTMENT,APARTMENT,sale,3.0,160.0,0,0,0,90.0,,,,0,GOOD
20642664,Eeklo,9900,819000.0,HOUSE,VILLA,sale,6.0,334.0,1,0,0,,300.0,1032.0,4.0,1,AS_NEW
20651526,Viane,9500,193000.0,HOUSE,HOUSE,sale,2.0,99.0,1,0,0,15.0,,137.0,3.0,0,
20657400,Jette,1090,625000.0,HOUSE,HOUSE,sale,5.0,233.0,1,0,0,15.0,200.0,250.0,2.0,0,AS_NEW
20659223,Erembodegem,9320,265000.0,APARTMENT,APARTMENT,sale,2.0,82.0,0,0,0,9.0,,,,0,GOOD
20661287,DIEST,3290,387000.0,APARTMENT,APARTMENT,sale,3.0,113.0,1,0,0,23.0,,,4.0,0,
20656973,Brugge,8200,360000.0,HOUSE,HOUSE,sale,3.0,223.0,1,0,0,40.0,120.0,248.0,2.0,0,TO_BE_DONE_UP
20641702,Malmedy,4960,489000.0,HOUSE,TOWN_HOUSE,sale,5.0,493.0,0,0,0,,,2000.0,4.0,0,
20637607,Maldegem,9990,795000.0,HOUSE,HOUSE,sale,4.0,251.0,0,0,0,,,0.0,4.0,0,AS_NEW
20656122,Ixelles,1050,975000.0,APARTMENT,APARTMENT,sale,3.0,170.0,1,0,0,,,,2.0,0,GOOD
20653300,ZOTTEGEM,9620,250000.0,HOUSE,HOUSE,sale,2.0,110.0,1,0,0,,,512.0,17.0,0,GOOD
11225765,Woluwe-Saint-Lambert,1200,360.0,APARTMENT_GROUP,APARTMENT_GROUP,sale,,,0,0,0,,,,,0,
20622179,Sint-jans-molenbeek (Sint-Jans-Molenbeek),1080,190000.0,APARTMENT,APARTMENT,sale,2.0,76.0,0,0,0,2.0,,,3.0,0,
20661854,Knokke-Heist,8301,669000.0,APARTMENT,APARTMENT,sale,2.0,68.0,0,0,0,,,,,0,GOOD
20663631,Laeken,1020,230000.0,APARTMENT,APARTMENT,sale,2.0,60.0,1,0,0,4.0,,,2.0,0,GOOD
20650352,Koksijde,8670,546500.0,APARTMENT,APARTMENT,sale,2.0,105.0,0,0,0,16.0,,,,0,AS_NEW
